,station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal,Location,latitude,longitude
0,40900,Howard,01/01/2001,6233.9,3814.5,2408.6,164447,"(42.019063, -87.672892)",41.85182,-87.745336
1,41190,Jarvis,01/01/2001,1489.1,1054.0,718.0,40567,"(42.015876, -87.669092)",41.853839,-87.714842
2,40100,Morse,01/01/2001,4412.5,3064.5,2087.8,119772,"(42.008362, -87.665909)",41.778943,-87.644244
3,41300,Loyola,01/01/2001,4664.5,3156.0,1952.8,125008,"(42.001073, -87.661061)",41.984246,-87.838028
4,40760,Granville,01/01/2001,3109.8,2126.0,1453.8,84189,"(41.993664, -87.659202)",41.87592,-87.659458
5,40880,Thorndale,01/01/2001,2977.7,1840.3,1262.6,79184,"(41.990259, -87.659076)",41.943623,-87.670907
6,41380,Bryn Mawr,01/01/2001,4425.4,2708.3,1881.2,117597,"(41.983504, -87.65884)",41.857908,-87.669147
7,40340,Berwyn,01/01/2001,3329.6,2050.8,1445.6,88683,"(41.977984, -87.658668)",41.885737,-87.630886
8,41200,Argyle,01/01/2001,2745.5,1874.5,1268.2,74240,"(41.973453, -87.65853)",41.970634,-87.760892
9,40770,Lawrence,01/01/2001,2689.6,1869.0,1227.8,72786,"(41.969139, -87.658493)",41.932732,-87.653131
10,40540,Wilson,01/01/2001,4968.1,3069.0,1903.8,131094,"(41.964273, -87.657588)",41.961756,-87.675047
11,40080,Sheridan,01/01/2001,4455.9,2625.8,1685.2,116958,"(41.953775, -87.654929)",41.875474,-87.649707
12,41420,Addison-North Main,01/01/2001,4805.5,2893.5,1900.2,126797,"(41.947428, -87.653626)",41.831677,-87.625826
13,41320,Belmont-North Main,01/01/2001,9075.5,6860.5,4241.4,248310,"(41.939751, -87.65338)",42.05416,-87.68356
14,41220,Fullerton,01/01/2001,10121.0,5239.8,3116.2,259203,"(41.925051, -87.652866)",41.878723,-87.63374
15,40650,North/Clybourn,01/01/2001,3525.6,2674.5,1772.8,97126,"(41.910655, -87.649177)",41.943744,-87.663619
16,40630,Clark/Division,01/01/2001,6501.5,4726.5,3209.0,177985,"(41.90392, -87.631412)",42.001073,-87.661061
17,41450,Chicago/State,01/01/2001,12311.0,9184.3,5658.6,335872,"(41.896671, -87.628176)",41.810318,-87.63094
18,40330,Grand/State,01/01/2001,8378.5,5428.0,3504.8,223562,"(41.891665, -87.628021)",41.983504,-87.65884
